Filename,No,mean(exx),stdev(exx),mean(eyy),stdev(eyy),mean(exy),stdev(exy)
BY60M-2_page_0216.out,216,-0.0298792,0.0182625,0.10085,0.0789643,0.00187375,0.00602596
BY60M-2_page_0217.out,217,-0.0299355,0.0183514,0.101185,0.0796855,0.0019227,0.00615262
BY60M-2_page_0218.out,218,-0.0299653,0.0184399,0.101468,0.0803552,0.00196462,0.00625097
BY60M-2_page_0219.out,219,-0.0300061,0.0185137,0.101728,0.0809623,0.00200283,0.00634046
BY60M-2_page_0220.out,220,-0.0300381,0.0185718,0.101979,0.0815562,0.00203871,0.00644075
BY60M-2_page_0221.out,221,-0.0300632,0.018638,0.102208,0.0820978,0.00208286,0.00653405
BY60M-2_page_0222.out,222,-0.0300811,0.0186884,0.102421,0.0826103,0.00212815,0.00661681
BY60M-2_page_0223.out,223,-0.0301117,0.0187524,0.102615,0.0830976,0.00215773,0.0066907
BY60M-2_page_0224.out,224,-0.0301414,0.0188072,0.102816,0.0835586,0.00218088,0.00676853
BY60M-2_page_0225.out,225,-0.030173,0.0188591,0.102997,0.0840007,0.00221233,0.00683923
BY60M-2_page_0226.out,226,-0.0301883,0.0189218,0.103157,0.0844336,0.0022447,0.00690818
BY60M-2_page_0227.out,227,-0.0302082,0.0189507,0.10332,0.0848316,0.00228124,0.00697889
BY60M-2_page_0228.out,228,-0.0302233,0.0189852,0.103475,0.0852097,0.00229689,0.00704251
BY60M-2_page_0229.out,229,-0.0302406,0.01904,0.103617,0.0855702,0.00232168,0.0070977
BY60M-2_page_0230.out,230,-0.0302625,0.019083,0.103761,0.085956,0.00235665,0.00715588
BY60M-2_page_0231.out,231,-0.0302787,0.0191307,0.103888,0.0863047,0.00238047,0.00721064
BY60M-2_page_0232.out,232,-0.0302975,0.0191682,0.104006,0.0866391,0.00239065,0.0072742
BY60M-2_page_0233.out,233,-0.0303069,0.0192014,0.104123,0.0869396,0.00242051,0.00731742
BY60M-2_page_0234.out,234,-0.0303194,0.0192293,0.104239,0.0872494,0.00244501,0.00737477
BY60M-2_page_0235.out,235,-0.0303212,0.0192736,0.104341,0.0875247,0.00245772,0.00741674
BY60M-2_page_0236.out,236,-0.0303293,0.0193119,0.104434,0.0877974,0.00248196,0.00746463
BY60M-2_page_0237.out,237,-0.0303231,0.0193387,0.104513,0.0880352,0.00250955,0.00749995
BY60M-2_page_0238.out,238,-0.0303371,0.019367,0.104551,0.0882482,0.00251556,0.00755465
BY60M-2_page_0239.out,239,-0.0303384,0.0193807,0.104617,0.0884594,0.00253922,0.00758347
BY60M-2_page_0240.out,240,-0.0303441,0.0194105,0.104669,0.0886643,0.0025597,0.00761651
BY60M-2_page_0241.out,241,-0.030339,0.0194311,0.104716,0.0888396,0.00257643,0.0076536
BY60M-2_page_0242.out,242,-0.0303496,0.0194523,0.104754,0.0890333,0.00259945,0.00769056
BY60M-2_page_0243.out,243,-0.0303469,0.019478,0.104799,0.0892122,0.00261501,0.00770446
BY60M-2_page_0244.out,244,-0.0303352,0.0195121,0.104843,0.0893474,0.00262645,0.00773338
BY60M-2_page_0245.out,245,-0.0303384,0.0195246,0.104871,0.0895117,0.00263684,0.00775916
BY60M-2_page_0246.out,246,-0.0303316,0.0195543,0.104892,0.0896597,0.00264891,0.00778645
BY60M-2_page_0247.out,247,-0.0303312,0.0195625,0.104903,0.0897952,0.00266701,0.00781622
BY60M-2_page_0248.out,248,-0.0303251,0.0195939,0.104912,0.0899011,0.00267537,0.00782149
BY60M-2_page_0249.out,249,-0.0303219,0.0195872,0.104937,0.0900518,0.00268938,0.00787102
BY60M-2_page_0250.out,250,-0.0303074,0.0196086,0.10495,0.0901758,0.00271465,0.00788185
BY60M-2_page_0251.out,251,-0.0303199,0.0196389,0.104945,0.0902638,0.00272172,0.00788644
