General : Start Date,3/28/2019 12:57 PM
Custom choice input : Operator,Ping
Text Inputs : Specimen label,"w20s1.2n1"
Custom choice input : Material,Polypropylene
Dimension : Length,200.00000,mm
Dimension : Thickness,5.30000,mm
Dimension : Width,20.30000,mm
Dimension : Area,1.07590,cm^2

Time,Extension,Load
(sec),(mm),(N)
70.48520,2.31756,35.04965
70.58520,2.32072,35.09616
70.68520,2.32432,35.14991
70.78520,2.32764,35.19564
70.88520,2.33073,35.24058
70.98520,2.33428,35.29350
71.08520,2.33770,35.34434
71.18520,2.34069,35.38678
71.28520,2.34419,35.43686
71.38520,2.34772,35.49080
71.48520,2.35070,35.53312
71.58520,2.35418,35.58118
71.68520,2.35777,35.63996
71.78520,2.36107,35.66895
71.88520,2.36415,35.70056
71.98520,2.36751,35.74635
72.08520,2.37064,35.78995
72.18520,2.37402,35.84226
72.28520,2.37771,35.90107
72.38520,2.38088,35.95023
72.48520,2.38410,35.99413
72.58520,2.38763,36.04760
72.68520,2.39081,36.09197
72.78520,2.39401,36.13927
72.88520,2.39762,36.19312
72.98520,2.40092,36.24230
73.08520,2.40406,36.28774
73.18520,2.40764,36.33642
73.28520,2.41095,36.38235
73.38520,2.41396,36.42683
73.48520,2.41754,36.48252
73.58520,2.42101,36.53523
73.68520,2.42401,36.57831
73.78520,2.42756,36.62862
73.88520,2.43111,36.68078
73.98520,2.43404,36.72371
74.08520,2.43743,36.76925
74.18520,2.44106,36.82246
74.28520,2.44404,36.86901
74.38520,2.44743,36.91639
74.48520,2.45107,36.96881
74.58520,2.45413,37.01400
74.68520,2.45741,37.06285
74.78520,2.46098,37.11573
74.88520,2.46414,37.16447
74.98520,2.46737,37.21276
75.08520,2.47098,37.26881
75.18520,2.47423,37.31421
75.28520,2.47738,37.35814
75.38520,2.48097,37.41032
75.48520,2.48431,37.46038
75.58520,2.48737,37.50423
75.68520,2.49093,37.55617
75.78520,2.49434,37.60681
75.88520,2.49733,37.64945
75.98520,2.50084,37.70260
76.08520,2.50438,37.75606
76.18520,2.50736,37.79818
76.28520,2.51080,37.84950
76.38520,2.51442,37.90217
76.48520,2.51740,37.94356
76.58520,2.52075,37.99309
76.68520,2.52440,38.04515
76.78520,2.52744,38.08740
76.88520,2.53071,38.13587
76.98520,2.53438,38.18791
77.08520,2.53751,38.23657
77.18520,2.54074,38.28402
77.28520,2.54432,38.33643
77.38520,2.54751,38.38452
77.48520,2.55067,38.43173
77.58520,2.55427,38.48130
77.68520,2.55763,38.52892
77.78520,2.56073,38.57499
77.88520,2.56427,38.62808
77.98520,2.56763,38.67550
78.08520,2.57064,38.71995
78.18520,2.57417,38.76828
78.28520,2.57768,38.82330
78.38520,2.58073,38.86873
78.48520,2.58422,38.92324
78.58520,2.58774,38.97216
78.68520,2.59071,39.01822
78.78520,2.59412,39.06661
78.88520,2.59771,39.11879
78.98520,2.60074,39.16278
79.08520,2.60414,39.21074
79.18520,2.60775,39.26386
79.28520,2.61080,39.30264
79.38520,2.61405,39.34953
79.48520,2.61764,39.40841
79.58520,2.62079,39.45654
79.68520,2.62402,39.50396
79.78520,2.62768,39.37755
79.88520,2.63090,39.26933
79.98520,2.63404,39.17654
80.08520,2.63762,39.15514
80.18520,2.64090,39.21565
80.28520,2.64396,39.27622
80.38520,2.64756,39.35359
80.48520,2.65104,39.41171
80.58520,2.65406,39.46698
80.68520,2.65755,39.52150
80.78520,2.66104,39.56386
80.88520,2.66396,39.50667
80.98520,2.66745,39.38154
81.08520,2.67106,39.37627
81.18520,2.67407,39.33334
81.28520,2.67752,39.30850
81.38520,2.68112,39.35101
81.48520,2.68408,39.41696
81.58520,2.68740,39.59743
81.68520,2.69100,39.66970
81.78520,2.69411,39.72113
81.88520,2.69741,39.77184
81.98520,2.70107,39.64613
82.08520,2.70426,39.87295
82.18520,2.70740,39.91764
82.28520,2.71096,39.97901
82.38520,2.71421,40.02930
82.48520,2.71729,40.07935
82.58520,2.72090,40.13301
82.68520,2.72434,40.18618
82.78520,2.72738,40.22933
82.88520,2.73088,40.28241
82.98520,2.73431,40.33331
83.08520,2.73732,40.37848
83.18520,2.74080,40.42990
83.28520,2.74439,40.48404
83.38520,2.74742,40.52795
83.48520,2.75085,40.58063
83.58520,2.75444,40.63294
83.68520,2.75743,40.68195
83.78520,2.76078,40.73209
83.88520,2.76438,40.78373
83.98520,2.76748,40.82816
84.08520,2.77076,40.87390
84.18520,2.77437,40.92905
84.28520,2.77753,40.97779
84.38520,2.78073,41.02538
84.48520,2.78427,41.07755
84.58520,2.78751,41.12563
84.68520,2.79067,41.17480
84.78520,2.79426,41.22848
84.88520,2.79762,41.28160
84.98520,2.80071,41.32731
85.08520,2.80423,41.37515
85.18520,2.80762,41.42712
85.28520,2.81068,41.47197
85.38520,2.81419,41.52741
85.48520,2.81773,41.57747
85.58520,2.82072,41.61901
85.68520,2.82418,41.67097
85.78520,2.82770,41.72427
85.88520,2.83068,41.76688
85.98520,2.83409,41.81937
86.08520,2.83770,41.87469
86.18520,2.84073,41.91938
86.28520,2.84408,41.96820
86.38520,2.84771,42.02043
